culture,product_name,purchase_frequency
Arabic,100% Colombian Medium Roast K-Cup Packs Arabica Coffee,8
Arabic,100% Premium Arabica Ground Coffee,32
Arabic,Arabica Premium Whole Bean Medium Roast Coffee,1
Arabic,Caramel Vanilla Cream Light Roast K-Cup Packs Arabica Coffee,12
Arabic,Colombian Fair Trade Select Medium Roast K-Cup Packs Arabica Coffee,3
Arabic,Detox Cellulite Soap Exfoliating With Arabica Coffee,4
Arabic,French Vanilla Light Roast K-Cup Packs Arabica Coffee,12
Arabic,Hazelnut Medium Roast K-Cup Packs Arabica Coffee,16
Arabic,"Italy's Favorite Coffee Santa Marta 100% Arabica, Colombia Ground Coffee",2
Arabic,Monoarabica Ethiopian Whole Bean Coffee,1
Arabic,Monoarabica Whole Bean Coffee,1
Arabic,Sumatra Single Origin Dark Whole Bean 100% Arabica Coffee,2
Arabic,Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee,1
Armenian,Armenian String Cheese,14
Armenian,Persian (Armenian) Cucumber,66
Bulgarian,Bulgarian Cultured Buttermilk,17
Bulgarian,Bulgarian Feta,10
Bulgarian,Bulgarian Yogurt,8
Bulgarian,Organic Bulgarian Yogurt,20
Bulgarian,Whole Milk Bulgarian Yogurt,5
Cantonese,Cantonese Oyster Flavored Sauce,2
Cantonese,"Duck Sauce, Sweet & Sour, Cantonese",3
Chinese,Authentic Chinese Noodles,15
Chinese,Broad Noodles with Chicken & Chinese Broccoli,2
Chinese,Chinese Barbecue Sauce,1
Chinese,Chinese Breakfast Black Tea,1
Chinese,Chinese Chicken Salad,4
Chinese,Chinese Chicken Salad Dressing,1
Chinese,Chinese Duck Sauce,10
Chinese,Chinese Eggplant,45
Chinese,Chinese Five Spice,1
Chinese,Chinese Five Spice Blend,1
Chinese,Chinese Five Spices Powder,3
Chinese,Chinese Long Beans,2
Chinese,Chinese Noodles,4
Chinese,Chinese Noodles and Veggies in a Cashew Cream Sauce,45
Chinese,Chinese Style Chicken Soup Bowl,3
Chinese,Chinese Style Noodles,3
Chinese,Chinese Style Salad Kit,1
Chinese,Fancy Mixed Chinese Vegetables,1
Chinese,Hot & Sour  Chinese Style Egg Flower Soup Mix,2
Chinese,Organic Chinese Five Spice,9
Chinese,Organic Chinese Mung Bean Sprouts,2
Danish,Apple Danish,1
Danish,Authentic Danish Style Blue Cheese,1
Danish,Cheese Danish,10
Danish,Cheese Danish Twist,13
Danish,Cherry Danish,2
Danish,Crumbled Danish Blue Cheese,3
Danish,Danish Butter Cookies,5
Danish,"Danish Butter, Imported",10
Danish,Danish Variety Pack,20
Danish,Raspberry Danish Twist,6
Danish,Rosenberg Danish Blue Cheese Traditional,5
Danish,Toaster Strudel Danish Style Cream Cheese Toaster Pastries,3
Dutch,Bag of Dutch Yellow Fingerling Potatoes,45
Dutch,"Cheese, Aged Dutch, Vincent",1
Dutch,"Crispbreads, Thick Cut, Smoked Dutch Gouda and Garlic",6
Dutch,Dutch Apple Pie,13
Dutch,Dutch Cocoa Flavor Crunchy Nuggets,29
Dutch,Dutch Country Potato Bread,5
Dutch,Dutch Country Smooth Texture 100% Whole Wheat Bread,27
Dutch,Dutch Yellow Pee Wee,7
Dutch,Dutchman's Chocolate Ice Cream,8
Dutch,Handmade Pennsylvania Dutch Pretzels,4
Dutch,High Protein Dutch Chocolate Frozen Yogurt,2
Dutch,"Ice Cream, Super Premium, Dutch Chocolate",29
Dutch,Kids Detangling Spray Double Dutch Apple,2
Dutch,Organic Dutch Chocolate Ice Cream,50
Dutch,Original Flaky Crust Dutch Apple Pie,2
Dutch,"Pie, Dutch Apple",4
Dutch,Rich & Creamy Hershey's Dutch Cocoa Chocolate Frosting,14
Dutch,Sorbet Dutch Chocolate,13
English,100% Whole Wheat English Muffin 6 Ct,51
English,100% Whole Wheat English Muffins,8
English,100% Whole Wheat Slice English Muffins,57
English,9 Grain English Muffin,1
English,Apple Pie Flavored English Muffins,12
English,Awake English Breakfast Black Tea K-Cups,6
English,Black Tea English Breakfast K-Cups,3
English,Blueberry English Tea Scones,44
English,Cinnamon Raisin English Muffins,50
English,"Clotted Cream, English Luxury",13
English,Crunchy English Toffee with Almonds in Dark Chocolate Bar,2
English,Currant English Tea Scones,2
English,Decaffeinated English Breakfast Black Tea,16
English,Delights Canadian Bacon Egg Whites & Cheese Honey Wheat English Muffin,45
English,"Delights Chicken Sausage, Egg Whites, & Cheese English Muffin",18
English,Delights Turkey Sausage Egg Whites & Cheese English Muffin,66
English,"Delights Turkey Sausage, Egg Whites, & Cheese English Muffin",1
English,Double Fiber Whole Grain Sliced English Muffins,17
English,Double Protein Oatmeal English Muffins,17
English,"Double Superfine Mustard Powder, Original English",18
English,English Beer Mustard,1
English,English Breakfast,15
English,English Breakfast Black Tea,5
English,English Breakfast Black Tea Bags,54
English,English Breakfast Black Tea KCups,1
English,English Breakfast Tea,3
English,English Breakfast Tea Bags,54
English,English Cheddar Cheese Smoked,1
English,English Cucumber,1
English,English Cucumbers,1
English,English Double Devon Cream,16
English,English Hydro Cucumber,5
English,"English Muffin Sandwiches, Canadian Bacon, Whole Cracked Egg & Cheese",6
English,English Muffin Toasting Bread,4
English,English Muffins,159
English,English Peas,1
English,English Peas Pack,4
English,English Seedless Cucumber,773
English,English Tea Ginger Lemon Cremes Cookies,6
English,English Tea Sandwich Cookies,4
English,English Tea Scones Orange,3
English,English Tea Scones Original,19
English,English Teatime Black Tea,12
English,English Toffee Caramels,1
English,English Toffee Crunch Ice Cream Bars,12
English,Extra Crisp English Muffins,99
English,Flourless  Sprouted Whole Grain 7-Sprouted Grains English Muffins,113
English,Fudge Brownies with English Walnuts,6
English,Gluten Free Brown Rice English Muffins 6 ct,59
English,Gluten Free Multigrain English Muffins,11
English,Gluten Free Original English Muffins,49
English,Golden White English Muffins,36
English,Hearty Grains 100% Whole Wheat English Muffins,194
English,Heath Milk Chocolate English Toffee Bar Frozen Dairy Dessert,8
English,High Fiber English Muffin,11
English,Honey Pecan English Tea Scones,5
English,Honey Wheat English Muffins,5
English,Light Multi-Grain English Muffins,237
English,Meat Lovers English Muffin Breakfast Sandwiches,1
English,Milk Chocolate English Toffee Miniatures Candy Bars,6
English,Mixed Berry English Tea Scones,27
English,Multi Grain English Muffins,14
English,Multi Seed English Muffin,29
English,Multi-Grain English Muffins,29
English,Organic Cinnamon Raisin English Muffins,18
English,Organic English Breakfast Black Tea,7
English,Organic English Cucumber,518
English,Organic English Seedless Cucumber,18
English,Organic Multigrain English Muffins,49
English,Organic Multigrain with Flax English Muffins,100
English,Organic Spelt English Muffins,42
English,Organic Sprouted English Muffin,289
English,Organic Teas Black Tea Organic English Breakfast Tea Bags - 16 CT,21
English,Organic White English Muffins,112
English,Organic Whole Grain Wheat English Muffins,417
English,Original English Muffin,2
English,Original English Muffins,156
English,Original English Mustard,4
English,Original Nooks & Crannies Cinnamon Raisin English Muffins,58
English,Original Nooks & Crannies English Muffins,669
English,Original Spelt Organic English Muffins,20
English,Original Whole Grain English Muffins,45
English,Paleo English Muffins,19
English,Premium English Breakfast Black Tea Bags,24
English,Pumpkin Spice English Muffins,1
English,Raspberry English Tea Scones,19
English,SARA LEE     14OZ ENGLISH MUFFINS,4
English,Smart Ones Canadian Style Turkey Bacon English Muffin Sandwich,5
English,Sourdough English Muffin,2
English,Sourdough English Muffins,16
English,Sprouted Organic Cinnamon Raisin English Muffins,151
English,Sprouted Whole Grain & Seed English Muffins,19
English,Traditional Hot English Mustard,12
English,Turkey Sausage English Muffin Sandwich Tasty American Favorites,6
English,Turkey sausage with egg whites and reduced fat cheese on an English muffin Turkey Sausage English Muffin,3
English,Umcka Cough Max Relief English Ivy Base,1
English,Wheat English Muffins,143
English,White English Muffins,140
